iter	Passed	Remaining
422	1957	4298
423	1961	4293
424	1965	4287
425	1969	4281
426	1973	4275
427	1978	4271
428	1982	4265
429	1986	4259
430	1990	4254
431	1994	4248
432	1998	4242
433	2002	4236
434	2006	4230
435	2011	4225
436	2014	4218
437	2018	4212
438	2022	4206
439	2027	4202
440	2032	4198
441	2037	4195
442	2041	4189
443	2045	4183
444	2049	4177
445	2053	4170
446	2057	4165
447	2061	4159
448	2065	4153
449	2068	4146
450	2072	4141
451	2076	4135
452	2080	4129
453	2084	4123
454	2088	4117
455	2092	4111
456	2096	4105
457	2100	4099
458	2104	4093
459	2108	4087
460	2111	4081
461	2115	4075
462	2119	4069
463	2123	4064
464	2127	4058
465	2131	4052
466	2135	4046
467	2139	4040
468	2143	4034
469	2146	4028
470	2150	4022
471	2154	4017
472	2158	4011
473	2162	4005
474	2166	3999
475	2169	3993
476	2173	3987
477	2177	3980
478	2181	3975
479	2184	3969
480	2188	3963
481	2192	3957
482	2197	3952
483	2201	3947
484	2205	3942
485	2209	3937
486	2214	3932
487	2218	3928
488	2223	3923
489	2227	3918
490	2231	3912
491	2235	3907
492	2240	3903
493	2244	3898
494	2248	3893
495	2253	3888
496	2257	3883
497	2261	3878
498	2266	3873
499	2270	3868
500	2274	3864
501	2279	3858
502	2283	3853
503	2287	3849
504	2292	3844
505	2296	3839
506	2300	3834
507	2305	3830
508	2309	3825
509	2314	3820
510	2318	3816
511	2323	3812
512	2328	3807
513	2332	3803
514	2337	3799
515	2341	3794
516	2345	3788
517	2349	3783
518	2354	3778
519	2357	3772
520	2361	3766
521	2365	3761
522	2369	3756
523	2373	3751
524	2377	3745
525	2381	3739
526	2385	3734
527	2389	3728
528	2392	3722
529	2396	3716
530	2400	3711
531	2404	3706
532	2408	3700
533	2412	3695
534	2416	3690
535	2420	3684
536	2423	3678
537	2427	3672
538	2431	3667
539	2435	3661
540	2439	3656
541	2443	3651
542	2447	3646
543	2451	3640
544	2455	3635
545	2459	3630
546	2463	3624
547	2466	3619
548	2470	3613
549	2475	3609
550	2479	3604
551	2483	3598
552	2487	3593
553	2491	3588
554	2494	3582
555	2499	3577
556	2503	3573
557	2507	3568
558	2511	3563
559	2515	3557
560	2519	3552
561	2522	3546
562	2526	3541
563	2530	3535
564	2534	3530
565	2538	3525
566	2542	3520
567	2546	3515
568	2550	3509
569	2554	3504
570	2558	3499
571	2561	3493
572	2565	3488
573	2569	3482
574	2573	3477
575	2577	3472
576	2580	3466
577	2584	3461
578	2588	3455
579	2592	3450
580	2596	3445
581	2600	3439
582	2603	3434
583	2607	3429
584	2611	3423
585	2615	3418
586	2618	3413
587	2622	3407
588	2626	3402
589	2630	3397
590	2634	3392
591	2638	3386
592	2642	3382
593	2645	3376
594	2649	3371
595	2653	3366
596	2657	3361
597	2661	3355
598	2665	3350
599	2669	3345
600	2672	3340
601	2676	3334
602	2680	3329
603	2684	3324
604	2688	3319
605	2692	3314
606	2696	3309
607	2700	3304
608	2704	3299
609	2707	3293
610	2711	3288
611	2715	3284
612	2720	3279
613	2723	3274
614	2728	3269
615	2732	3264
616	2736	3260
617	2741	3255
618	2745	3250
619	2749	3245
620	2753	3240
621	2757	3236
622	2762	3232
623	2766	3227
624	2770	3222
625	2775	3218
626	2781	3215
627	2785	3211
628	2791	3208
629	2796	3204
630	2800	3200
631	2806	3197
632	2810	3192
633	2815	3188
634	2820	3184
635	2824	3179
636	2828	3175
637	2833	3170
638	2838	3166
639	2846	3167
640	2853	3165
641	2861	3164
642	2866	3160
643	2873	3159
644	2878	3154
645	2883	3150
