iter	Accuracy	Logloss
444	0.8099620384	0.4089438715
445	0.8099620384	0.4088209166
446	0.8101921086	0.408565166
447	0.8103071437	0.4085303241
448	0.8099620384	0.4084290418
449	0.8099620384	0.4083482503
450	0.8100770735	0.4082863451
451	0.8100770735	0.4081877854
452	0.8101921086	0.4080468599
453	0.8101921086	0.4079145333
454	0.8101921086	0.4078386147
455	0.8103071437	0.407725427
456	0.8103071437	0.4076213671
457	0.8103071437	0.4072467372
458	0.8100770735	0.4072031846
459	0.8103071437	0.4069556496
460	0.8104221788	0.4068715933
461	0.810767284	0.4067152301
462	0.810767284	0.4066192503
463	0.8108823191	0.4065410571
464	0.810767284	0.4065013384
465	0.8108823191	0.406436354
466	0.810767284	0.4063675976
467	0.8106522489	0.406167848
468	0.810767284	0.405925734
469	0.8105372139	0.4058109909
470	0.8104221788	0.4057261425
471	0.8104221788	0.4056648555
472	0.8105372139	0.4055284797
473	0.8105372139	0.4053949951
474	0.8105372139	0.4052847575
475	0.810767284	0.4052262336
476	0.8105372139	0.4051015733
477	0.8106522489	0.4049496932
478	0.8103071437	0.404844536
479	0.8103071437	0.4047673906
480	0.8103071437	0.4046698784
481	0.8101921086	0.4045778519
482	0.8103071437	0.4044999921
483	0.8101921086	0.4043983857
484	0.8105372139	0.4043052783
485	0.8105372139	0.4042342414
486	0.8105372139	0.404159228
487	0.8105372139	0.4040794794
488	0.8106522489	0.40400779
489	0.8105372139	0.4039783469
490	0.8105372139	0.4039172016
491	0.8105372139	0.4038500525
492	0.8105372139	0.4037425051
493	0.8106522489	0.4036907071
494	0.8105372139	0.4034744796
495	0.8103071437	0.4034249624
496	0.8103071437	0.403320673
497	0.8104221788	0.4032515331
498	0.8103071437	0.4030920069
499	0.8104221788	0.4029143547
500	0.8106522489	0.4028133117
501	0.8108823191	0.4027536664
502	0.8109973542	0.4026964829
503	0.8108823191	0.4026368117
504	0.810767284	0.4025676978
505	0.810767284	0.4024369612
506	0.8108823191	0.4022978636
507	0.8105372139	0.4022498691
508	0.8106522489	0.4021272405
509	0.8108823191	0.4020447783
510	0.8108823191	0.4018751484
511	0.8108823191	0.4017810151
512	0.8111123893	0.4016666035
513	0.8112274244	0.4013579718
514	0.8111123893	0.4012602197
515	0.8112274244	0.4011533041
516	0.8113424595	0.4010696672
517	0.8113424595	0.4009636783
518	0.8112274244	0.4007748655
519	0.8115725296	0.4006947411
520	0.8113424595	0.4003364444
521	0.8112274244	0.400251149
522	0.8113424595	0.4001808748
523	0.8112274244	0.4001256276
524	0.8113424595	0.3998913562
525	0.8113424595	0.3998177228
526	0.8114574945	0.399732318
527	0.8115725296	0.3996609328
528	0.8119176349	0.3995962186
529	0.8118025998	0.3995655799
530	0.8118025998	0.3994573913
531	0.8118025998	0.3993898228
532	0.8118025998	0.3990963167
533	0.8119176349	0.3990006483
534	0.81203267	0.3988989778
535	0.8119176349	0.3988427585
536	0.8118025998	0.3987456939
537	0.8119176349	0.3987358354
538	0.81203267	0.3985009116
539	0.81203267	0.3984511294
540	0.8121477051	0.3983527758
541	0.8118025998	0.3982301657
542	0.8119176349	0.3981462653
543	0.8119176349	0.3980393021
544	0.8121477051	0.3979686296
545	0.8121477051	0.3978511356
546	0.81203267	0.3977332892
547	0.81203267	0.3976557476
548	0.8123777752	0.3976153343
549	0.8121477051	0.3975734206
550	0.8123777752	0.3973235993
551	0.8127228805	0.3972550858
552	0.8127228805	0.3972188367
553	0.8128379156	0.3971737597
554	0.8127228805	0.3971181594
555	0.8127228805	0.3970211214
556	0.8127228805	0.3969398104
557	0.8126078454	0.3968808279
558	0.8126078454	0.3967918263
559	0.8126078454	0.3966954715
560	0.8123777752	0.3966093027
561	0.8121477051	0.3964376793
562	0.8122627401	0.39637784
563	0.8124928103	0.396314466
564	0.8124928103	0.3962355447
565	0.8124928103	0.3961850395
566	0.8124928103	0.3961335474
567	0.8127228805	0.3960336133
568	0.8130679857	0.3959333008
569	0.8130679857	0.3957954826
570	0.8131830208	0.3957056022
571	0.8131830208	0.3956007925
572	0.8132980559	0.3954888818
573	0.8132980559	0.3954344969
574	0.8132980559	0.3953916904
575	0.8131830208	0.3952684061
576	0.8132980559	0.3950423707
577	0.8132980559	0.3949856704
578	0.8131830208	0.3949372816
579	0.8132980559	0.3948632377
580	0.8131830208	0.3948029788
581	0.8130679857	0.3947373592
582	0.8132980559	0.3946695885
583	0.8129529506	0.3945698091
584	0.8128379156	0.3945272458
585	0.8128379156	0.3944991073
586	0.8129529506	0.39444229
587	0.8128379156	0.3943829123
588	0.8129529506	0.3943317755
589	0.8128379156	0.3943059741
590	0.8128379156	0.3942377441
591	0.8129529506	0.3941477397
592	0.8129529506	0.3940358592
593	0.8135281261	0.3938672368
594	0.8132980559	0.3938233636
595	0.8136431612	0.3937573329
596	0.8136431612	0.3936030084
597	0.8135281261	0.3935497964
598	0.8136431612	0.3934975072
599	0.8136431612	0.3934038802
600	0.8135281261	0.3933477506
601	0.8136431612	0.3932842806
602	0.8136431612	0.3931561564
603	0.8137581962	0.3930782179
604	0.8138732313	0.3930097268
605	0.8139882664	0.392930865
606	0.8138732313	0.3928742837
607	0.8136431612	0.3928237184
608	0.8135281261	0.392731488
609	0.8137581962	0.3925629389
610	0.8135281261	0.3924566309
611	0.8135281261	0.3923924201
612	0.8137581962	0.3921969433
613	0.8137581962	0.3921430407
614	0.8137581962	0.3920594359
615	0.8136431612	0.3919810943
616	0.8137581962	0.3919256368
617	0.8138732313	0.3917951249
618	0.8138732313	0.3917326877
619	0.8141033015	0.3916358394
620	0.8141033015	0.3915136818
621	0.8139882664	0.391418459
622	0.8141033015	0.3911373625
623	0.8141033015	0.3910059996
624	0.8141033015	0.3909439808
625	0.8143333717	0.3908845276
626	0.8142183366	0.3908431114
627	0.8139882664	0.3907833943
628	0.8138732313	0.3906904889
629	0.8138732313	0.3906647838
630	0.8135281261	0.3905821051
631	0.8135281261	0.3904231177
632	0.8136431612	0.3903315955
633	0.8137581962	0.3902388791
634	0.8138732313	0.3901734881
635	0.8139882664	0.3899800115
636	0.8138732313	0.389872063
637	0.8141033015	0.3897967094
638	0.8139882664	0.3897336039
639	0.8141033015	0.3896989419
640	0.8142183366	0.3896016837
641	0.8144484068	0.3894030288
642	0.8143333717	0.3893276947
643	0.8145634418	0.3892405711
644	0.8145634418	0.3891632002
645	0.814793512	0.3890459751
646	0.814793512	0.3889570731
647	0.8150235822	0.3889008999
648	0.8150235822	0.3888316732
649	0.8146784769	0.3887001205
650	0.8149085471	0.3885388501
651	0.8151386173	0.3884513128
652	0.8150235822	0.3883648471
653	0.8151386173	0.3882973591
654	0.8149085471	0.3882170217
655	0.8150235822	0.388146037
656	0.8152536524	0.3880799342
657	0.8150235822	0.3877030913
658	0.8151386173	0.3876466735
659	0.8152536524	0.387590139
660	0.8153686874	0.387345601
661	0.8153686874	0.3873032668
662	0.8155987576	0.3872242315
663	0.8155987576	0.3871217156
664	0.8155987576	0.3870189391
665	0.8155987576	0.3869667687
666	0.8155987576	0.3869212909
667	0.8155987576	0.3868277036
668	0.8158288278	0.3867675506
669	0.8158288278	0.3866838895
670	0.8157137927	0.3866415383
671	0.8157137927	0.3866045544
672	0.8158288278	0.3865429471
673	0.816058898	0.3863982694
674	0.816058898	0.3863421461
675	0.8158288278	0.3862258237
676	0.8157137927	0.385866328
677	0.8157137927	0.385823045
678	0.8157137927	0.3857932394
679	0.8157137927	0.385684614
680	0.8158288278	0.3854841189
681	0.8159438629	0.3854317657
682	0.8159438629	0.3853606505
683	0.8158288278	0.385253204
684	0.816058898	0.3852122324
685	0.8159438629	0.3850558987
686	0.8158288278	0.3850135747
687	0.8157137927	0.3849546048
688	0.8158288278	0.3848964806
689	0.816058898	0.3847226712
690	0.816058898	0.3846602757
691	0.816058898	0.3845889864
692	0.816173933	0.3845027233
693	0.816173933	0.3843809851
694	0.816173933	0.3843382665
695	0.816173933	0.3842867673
696	0.8164040032	0.3841167379
697	0.8164040032	0.3839567015
698	0.8165190383	0.3838384456
699	0.8169791786	0.3837632578
700	0.8167491085	0.3835061571
701	0.8167491085	0.3834170864
702	0.8166340734	0.3833515574
703	0.8165190383	0.3832474981
704	0.8166340734	0.3830667583
705	0.8168641436	0.3829666074
706	0.8168641436	0.3828618467
707	0.8167491085	0.3827577245
708	0.8169791786	0.3826571333
709	0.8167491085	0.3825927521
710	0.8168641436	0.3824705936
711	0.8168641436	0.3824283339
712	0.8169791786	0.3823667331
713	0.8169791786	0.3823314023
714	0.8169791786	0.3822434374
715	0.8168641436	0.3822030326
716	0.8170942137	0.3820740355
717	0.8172092488	0.3819690371
718	0.8170942137	0.3816149786
719	0.8172092488	0.3815337137
720	0.8173242839	0.3814438057
721	0.8172092488	0.3813861927
722	0.8170942137	0.3813531091
723	0.8170942137	0.3812440322
724	0.8173242839	0.3811742848
725	0.817439319	0.3809074192
726	0.8178994593	0.3806634275
727	0.8182445646	0.380612794
728	0.8181295295	0.38057126
729	0.8178994593	0.3804278379
730	0.8175543541	0.380296001
731	0.8176693892	0.3802490055
732	0.8178994593	0.3801821918
733	0.8180144944	0.380137506
734	0.8182445646	0.380052793
735	0.8182445646	0.3799056552
736	0.8184746348	0.379636394
737	0.8185896698	0.3794953497
738	0.81881974	0.3794134126
739	0.81881974	0.3792137898
740	0.8190498102	0.3791304552
741	0.8191648453	0.3790536794
742	0.8192798804	0.3789496401
743	0.8192798804	0.3788567578
744	0.8190498102	0.3787951173
745	0.8190498102	0.3787081555
746	0.8191648453	0.3785022393
747	0.8190498102	0.3784540478
748	0.8191648453	0.3783803883
749	0.8190498102	0.3783149341
750	0.81881974	0.3781124779
751	0.8191648453	0.3780497815
752	0.8192798804	0.377960905
753	0.8192798804	0.3778485816
754	0.8193949154	0.3777574679
755	0.8195099505	0.3776857739
756	0.8195099505	0.3776067689
757	0.8196249856	0.3775630063
758	0.8197400207	0.3774912104
759	0.8197400207	0.3773943942
760	0.8196249856	0.3773269136
761	0.8198550558	0.3771875438
762	0.8198550558	0.3770594353
763	0.8198550558	0.377003921
764	0.8198550558	0.376920461
765	0.8198550558	0.3768351301
766	0.8199700909	0.3767519403
767	0.820085126	0.3766651702
768	0.8199700909	0.3765722147
769	0.8198550558	0.3764896516
770	0.8203151961	0.3763964494
771	0.8203151961	0.3762787691
772	0.820200161	0.3760760007
773	0.8203151961	0.3759761843
774	0.8205452663	0.3758364282
775	0.8204302312	0.3756815339
776	0.8205452663	0.3755573055
777	0.8207753365	0.3755034182
778	0.8207753365	0.3753988803
779	0.8207753365	0.3752282685
780	0.8212354768	0.3750816304
781	0.8212354768	0.3750131296
782	0.821465547	0.374969428
783	0.821465547	0.3749123566
784	0.8215805821	0.3746901009
785	0.8215805821	0.3745424928
786	0.8222707926	0.3742793513
787	0.8221557575	0.3741826947
788	0.8222707926	0.3739993066
789	0.8225008628	0.3738999678
790	0.8219256873	0.373793815
791	0.8220407224	0.3737209192
792	0.8223858277	0.3736283092
793	0.8225008628	0.3735170129
794	0.8225008628	0.3734220189
795	0.8226158978	0.3732972039
796	0.8225008628	0.3732400979
797	0.8225008628	0.3730084112
798	0.8229610031	0.37271813
799	0.8230760382	0.3724842391
800	0.8230760382	0.3723488251
801	0.822845968	0.3722085499
802	0.8229610031	0.3721279853
803	0.8229610031	0.3720575225
804	0.822845968	0.3719986865
805	0.8227309329	0.3719662329
806	0.822845968	0.3718781174
807	0.8229610031	0.3718121217
808	0.8231910733	0.3716838999
809	0.8230760382	0.3716239063
810	0.8230760382	0.3715456393
811	0.8233061084	0.3713705931
812	0.8233061084	0.371220314
813	0.8231910733	0.3711317602
814	0.8231910733	0.3709753788
815	0.8231910733	0.3709120957
816	0.8233061084	0.3708096592
817	0.8234211434	0.3706683309
818	0.8238812838	0.3705721528
819	0.8239963189	0.3704424624
820	0.8239963189	0.370316401
821	0.8239963189	0.3702544704
822	0.8238812838	0.3701407302
823	0.824226389	0.36988842
824	0.824226389	0.3698028458
825	0.8246865294	0.3696766981
826	0.8250316346	0.3694935933
827	0.8248015645	0.3693850976
828	0.8249165996	0.3692552511
829	0.8249165996	0.3691871388
830	0.8250316346	0.3690922966
831	0.8251466697	0.3689730758
832	0.8252617048	0.3689111482
833	0.8253767399	0.3688356802
834	0.8250316346	0.3687544526
835	0.8250316346	0.3686781918
836	0.8250316346	0.3685806707
837	0.8252617048	0.368509077
838	0.825491775	0.3682766584
839	0.8251466697	0.3681568538
840	0.8253767399	0.3680123982
841	0.8256068101	0.3679335939
842	0.8257218452	0.3678372708
843	0.8259519153	0.36770547
844	0.8259519153	0.3676379341
845	0.8258368802	0.3675641493
846	0.8257218452	0.3674949463
847	0.8261819855	0.367293149
848	0.8265270908	0.3671453656
849	0.8266421258	0.3670680316
850	0.8267571609	0.3669517235
851	0.8269872311	0.3668865017
852	0.8267571609	0.3667865729
853	0.826872196	0.3667066515
854	0.8269872311	0.3665213002
855	0.8274473714	0.3664333198
856	0.8275624065	0.366340044
857	0.8274473714	0.3662443973
858	0.8276774416	0.3661895329
859	0.8275624065	0.3661269398
860	0.828137582	0.3659751127
861	0.8283676521	0.3659071046
862	0.8288277925	0.3658454368
863	0.8287127574	0.365731525
864	0.8287127574	0.3656684787
865	0.828252617	0.3655459736
866	0.8284826872	0.3655035839
867	0.8292879328	0.3653709265
868	0.8291728977	0.3652771779
869	0.829518003	0.3650779333
870	0.8296330381	0.3649583451
871	0.8299781433	0.3648515636
872	0.8299781433	0.3647823419
873	0.8304382837	0.3645996191
874	0.8307833889	0.3644171221
875	0.8300931784	0.3642563908
876	0.8302082135	0.3641812655
877	0.8304382837	0.3641008561
878	0.8305533188	0.3639888225
879	0.8312435293	0.363837147
880	0.8312435293	0.3637339646
881	0.8312435293	0.3636367302
882	0.8318187047	0.3635473277
